label,x,y,id,attributes,color,size,artist
42NjRVKqEGe2DkGvlUd5qM,-1731.25732421875,1401.1552734375,42NjRVKqEGe2DkGvlUd5qM,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Alex the Astronaut
0asVlqTLu3TimnYVyY5Jxi,-4.419721603393555,1165.6103515625,0asVlqTLu3TimnYVyY5Jxi,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Tune-Yards
1cwOthlzLBwN8Imbq7P71H,1023.6941528320312,-224.8743438720703,1cwOthlzLBwN8Imbq7P71H,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Dotan
2RdwBSPQiwcmiDo9kixcl8,-2187.130126953125,1307.68603515625,2RdwBSPQiwcmiDo9kixcl8,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Pharrell Williams
1mSJCvDX0W7Dn7S9C6vmvI,-831.5174560546875,-103.80239868164062,1mSJCvDX0W7Dn7S9C6vmvI,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Anna of the North
4rs1K6gDzLY5VnCMSC80o7,401.2901611328125,46.58112716674805,4rs1K6gDzLY5VnCMSC80o7,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Vacationer
4xM4nZLhGE0pMKbXA08s6A,-273.5427551269531,-379.0893859863281,4xM4nZLhGE0pMKbXA08s6A,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,No Wyld
4gFssfOmWNY3LfIZ3zyoy4,-484.90869140625,515.5944213867188,4gFssfOmWNY3LfIZ3zyoy4,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Punch Brothers
3RthMq3xfDQZl80cMEg1JQ,272.16754150390625,-1281.3233642578125,3RthMq3xfDQZl80cMEg1JQ,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Finish Ticket
7LrFQFaZaxfa9deqkjvc89,-432.5177307128906,-298.1313781738281,7LrFQFaZaxfa9deqkjvc89,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,The Shelters
4jBAtDSn9XkkE6PtrSgBDE,932.1947631835938,1161.382568359375,4jBAtDSn9XkkE6PtrSgBDE,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,I Am Arrows
28OHQv3VZ2gifjWzrqBv1v,-2554.11865234375,450.4886169433594,28OHQv3VZ2gifjWzrqBv1v,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Bene
7I7ObCLzhAnOchc4fCQiRX,3.1360013484954834,201.29507446289062,7I7ObCLzhAnOchc4fCQiRX,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,BOY
5K0rbdBrs2tNXe5LeWMATT,-435.9005126953125,2334.73974609375,5K0rbdBrs2tNXe5LeWMATT,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Bootsy Collins
6M2wZ9GZgrQXHCFfjv46we,-1437.17333984375,939.2260131835938,6M2wZ9GZgrQXHCFfjv46we,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Dua Lipa
5r5Va4lVQ1zjEfbJSrmCsS,-607.4015502929688,-170.7296905517578,5r5Va4lVQ1zjEfbJSrmCsS,"{'Splitter Z-Level': '0', 'Component ID': '0', 'Computed Z-Level': '0'}","rgb(0,0,0)",10.0,Broods
