id,target,name,rel,x,y
3sk9GNYRthjLjrZDflxhiB,4MSMDY0ClgWqXApU53I1L1,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->4MSMDY0ClgWqXApU53I1L1,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,6ZUjdwG0NvY6MT7vvmluhV,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->6ZUjdwG0NvY6MT7vvmluhV,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,42vg2T0Xg9yPaAgogJzoQH,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->42vg2T0Xg9yPaAgogJzoQH,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,4Om4kO491KUeVkwTLiVQq3,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->4Om4kO491KUeVkwTLiVQq3,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,0YhUSm86okLWldQVwJkLlP,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->0YhUSm86okLWldQVwJkLlP,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,4Cjsh7anKDaMnQ3YHB1Xwq,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->4Cjsh7anKDaMnQ3YHB1Xwq,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,1niOQVlqnlW8hFqKSlbx7p,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->1niOQVlqnlW8hFqKSlbx7p,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,3nUbzTTtP2w4HqvT5y5vkV,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->3nUbzTTtP2w4HqvT5y5vkV,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,6ejhZKxWJr9apHAzj74DHv,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->6ejhZKxWJr9apHAzj74DHv,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,6VXZCpbkwm0W0aPjQR1t4K,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->6VXZCpbkwm0W0aPjQR1t4K,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,67Dg546QfThu4PuanvFD8y,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->67Dg546QfThu4PuanvFD8y,412.9751281738281,-698.1439208984375
