Source,Target,type
0Wkm45quqfx3NepJpXDvwE,6OqhFYFJDnBBHas02HopPT,undirected
0Wkm45quqfx3NepJpXDvwE,5VF0YkVLeVD4ytyiyVSIiF,undirected
0Wkm45quqfx3NepJpXDvwE,0asVlqTLu3TimnYVyY5Jxi,undirected
0Wkm45quqfx3NepJpXDvwE,5xeBMeW0YzWIXSVzAxhM8O,undirected
0Wkm45quqfx3NepJpXDvwE,4OOlG5eBXSkSAAEeKjJb5Y,undirected
0Wkm45quqfx3NepJpXDvwE,4wXchxfTTggLtzkoUhO86Q,undirected
1FgsVeOhRYuSw2ghkIXV0A,1UfzhwcOR4yfX7yHTPfC9m,undirected
1FgsVeOhRYuSw2ghkIXV0A,6ZUjdwG0NvY6MT7vvmluhV,undirected
1FgsVeOhRYuSw2ghkIXV0A,3RbyaF3Pq6iDUKNp04AIcU,undirected
1FgsVeOhRYuSw2ghkIXV0A,67Dg546QfThu4PuanvFD8y,undirected
1FgsVeOhRYuSw2ghkIXV0A,5ApQnMT6oR8eLguf24xb9S,undirected
1FgsVeOhRYuSw2ghkIXV0A,7xSEWLsywYbocdtt3xsQsU,undirected
1FgsVeOhRYuSw2ghkIXV0A,3DFoVPonoAAt4EZ1FEI8ue,undirected
1FgsVeOhRYuSw2ghkIXV0A,4iiQabGKtS2RtTKpVkrVTw,undirected
4Ui2kfOqGujY81UcPrb5KE,7bcbShaqKdcyjnmv4Ix8j6,undirected
4Ui2kfOqGujY81UcPrb5KE,6sFIWsNpZYqfjUpaCgueju,undirected
4Ui2kfOqGujY81UcPrb5KE,6beUvFUlKliUYJdLOXNj9C,undirected
4Ui2kfOqGujY81UcPrb5KE,2eam0iDomRHGBypaDQLwWI,undirected
4Ui2kfOqGujY81UcPrb5KE,2AmfMGi3WZMxqFDHissIAe,undirected
4Ui2kfOqGujY81UcPrb5KE,4wXchxfTTggLtzkoUhO86Q,undirected
4Ui2kfOqGujY81UcPrb5KE,2ueoLVCXQ948OfhVvAy3Nn,undirected
4Ui2kfOqGujY81UcPrb5KE,4NZvixzsSefsNiIqXn0NDe,undirected
7FhRUp59cBzPaxobsRY1Nc,2OK16hAFRHoJiFZKeZe8A8,undirected
7FhRUp59cBzPaxobsRY1Nc,3S4d3YRNGg2OhnNm3QvfhA,undirected
7FhRUp59cBzPaxobsRY1Nc,1ikg4sypcURm8Vy5GP68xb,undirected
7FhRUp59cBzPaxobsRY1Nc,4ZeB1hzT2mSZrf7wszOqHs,undirected
7FhRUp59cBzPaxobsRY1Nc,5ApQnMT6oR8eLguf24xb9S,undirected
7FhRUp59cBzPaxobsRY1Nc,1anAI9P9iSzc9qzLv6AtHZ,undirected
7FhRUp59cBzPaxobsRY1Nc,3VAxb3UskTNiHAKh4UeOEv,undirected
7FhRUp59cBzPaxobsRY1Nc,4hz8tIajF2INpgM0qzPJz2,undirected
7FhRUp59cBzPaxobsRY1Nc,4wYk01oPJNfaEssVFL46oQ,undirected
0asVlqTLu3TimnYVyY5Jxi,2ueoLVCXQ948OfhVvAy3Nn,undirected
0asVlqTLu3TimnYVyY5Jxi,5VF0YkVLeVD4ytyiyVSIiF,undirected
0asVlqTLu3TimnYVyY5Jxi,04HvbIwBccFmRie5ATX4ft,undirected
0asVlqTLu3TimnYVyY5Jxi,5xeBMeW0YzWIXSVzAxhM8O,undirected
0asVlqTLu3TimnYVyY5Jxi,2Jv5eshHtLycR6R8KQCdc4,undirected
63MQldklfxkjYDoUE4Tppz,67hb7towEyKvt5Z8Bx306c,undirected
63MQldklfxkjYDoUE4Tppz,4l1cKWYW591xnwEGxpUg3J,undirected
63MQldklfxkjYDoUE4Tppz,7gjAu1qr5C2grXeQFFOGeh,undirected
63MQldklfxkjYDoUE4Tppz,1WvvwcQx0tj6NdDhZZ2zZz,undirected
63MQldklfxkjYDoUE4Tppz,1xU878Z1QtBldR7ru9owdU,undirected
63MQldklfxkjYDoUE4Tppz,0oeUpvxWsC8bWS6SnpU8b9,undirected
63MQldklfxkjYDoUE4Tppz,5juOkIIy18sFw9L30syt1Z,undirected
63MQldklfxkjYDoUE4Tppz,1l9d7B8W0IHy3LqWsxP2SH,undirected
63MQldklfxkjYDoUE4Tppz,2Jv5eshHtLycR6R8KQCdc4,undirected
63MQldklfxkjYDoUE4Tppz,6fLrPFLWLSCrp7gcTZXcKb,undirected
3nIzSJRQzH8v2DFs7iaXDi,0AepkoQhYvkjEzzwIcGxdV,undirected
3nIzSJRQzH8v2DFs7iaXDi,0yb46jwm7gqbZXVXZQ8Z1e,undirected
3nIzSJRQzH8v2DFs7iaXDi,3NPpFNZtSTHheNBaWC82rB,undirected
3nIzSJRQzH8v2DFs7iaXDi,5kuJibJcwOC53s3OkoGMRA,undirected
2ARO60gI5do88ho6azmzab,0asVlqTLu3TimnYVyY5Jxi,undirected
2ARO60gI5do88ho6azmzab,6fEO1r9Y9TYL9O4w5kVPmc,undirected
2ARO60gI5do88ho6azmzab,1HOeqtP7tHkKNJNLzQ2tnr,undirected
2eam0iDomRHGBypaDQLwWI,0YhUSm86okLWldQVwJkLlP,undirected
2eam0iDomRHGBypaDQLwWI,6R664N4cEza3eORSqKSgO4,undirected
2eam0iDomRHGBypaDQLwWI,5ivCbtrcD5N4rD337xIb2z,undirected
2eam0iDomRHGBypaDQLwWI,0ZxZlO7oWCSYMXhehpyMvE,undirected
2eam0iDomRHGBypaDQLwWI,5DK8eK7fjvRsziXzyr3sFA,undirected
2eam0iDomRHGBypaDQLwWI,6ZUjdwG0NvY6MT7vvmluhV,undirected
2eam0iDomRHGBypaDQLwWI,716ZwtZBmwROBXcFmCzfdM,undirected
2eam0iDomRHGBypaDQLwWI,0L8jXe7QeS9oYUoXbANmX4,undirected
2eam0iDomRHGBypaDQLwWI,6FIrstf3kHEg3zBOyLpvxD,undirected
2eam0iDomRHGBypaDQLwWI,4MSMDY0ClgWqXApU53I1L1,undirected
2eam0iDomRHGBypaDQLwWI,2AmfMGi3WZMxqFDHissIAe,undirected
2eam0iDomRHGBypaDQLwWI,1btWGBz4Uu1HozTwb2Lm8A,undirected
2eam0iDomRHGBypaDQLwWI,6AGUQK1EWK6nvN4pLIDQDQ,undirected
